fit_period,winner_state,feature,winner_n,control_n,winner_mean,control_mean,mean_difference,winner_median,control_median,standardized_mean_difference,probability_superiority_minus_half
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,close_vs_ma5,45064,42542,-0.005667544212875129,0.000737857578834456,-0.006405401791709585,-0.0037526652725093923,0.0,-0.20865284084256705,-0.049990613801623396
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,close_vs_ma10,45064,42542,-0.010706357472190946,0.00263077142550525,-0.013337128897696195,-0.007571062090686531,-0.0002999175204360105,-0.2862343604807577,-0.06748227832917036
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,close_vs_ma20,45064,42542,-0.0157616435728998,0.006771072428777506,-0.022532716001677305,-0.009887849226889511,0.0010785037736009695,-0.32971671141181996,-0.07206784341098682
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,close_vs_ma60,45064,42542,0.003998562520257981,0.0294134458581887,-0.02541488333793072,0.006575565925703297,0.009895168064496307,-0.19897435405062952,-0.030834598492835152
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,ma5_slope,45064,42542,-0.009296536393303884,0.004742692598430371,-0.014039228991734255,-0.006565728653941116,0.0,-0.26402414872417007,-0.05904083975266039
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,ma10_slope,45064,42542,-0.0073678078743174774,0.003945052108946039,-0.011312859983263517,-0.004919706783385325,0.0007308872971787395,-0.2646578546867519,-0.059310117089997616
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,ma20_slope,45064,42542,-0.0018322641962846282,0.00510611520669373,-0.006938379402978359,-0.0004203576296633038,0.0021214722821916165,-0.21409847852674346,-0.04292555962677974
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,ma60_slope,45054,42533,0.004411385098588121,0.005015730188197971,-0.00060434508960985,0.004369402374217901,0.0023677979479101996,-0.03149988567717371,0.009538117082615982
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,atr5,45064,42542,0.04162193481406828,0.038698253615996,0.0029236811980722782,0.038952537066543697,0.0346485369175122,0.15526810570364735,0.06891907389014162
HISTORICAL_DISCOVERY_2020_2022_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,atr20,45064,42542,0.04479528845616242,0.03929563883572395,0.005499649620438474,0.04306199098334193,0.03700750060389631,0.3276155013765486,0.10567203548756654
